# Sternheimer (uncoupled CPKS) confined-ion static polarizabilities
# rmax = 3.6*R99(neutral) (the HI density-reference box). alpha in a0^3.
# ratio = alpha(Z,q)/alpha(Z,0) -- the neutral-calibrated charge factor.
# Z sym q alpha_a0^3 rmax ratio
  1  H -1      39.6902   17.373    5.63358
  1  H +0       7.0453   17.373    1.00000
  2 He -1     746.6697   10.483  431.16247
  2 He +0       1.7318   10.483    1.00000
  2 He +1       0.3530   10.483    0.20386
  3 Li -1    2676.7998   27.891   14.94991
  3 Li +0     179.0513   27.891    1.00000
  3 Li +1       0.2225   27.891    0.00124
  4 Be -1     697.2208   20.139    8.96186
  4 Be +0      77.7987   20.139    1.00000
  4 Be +1      25.6180   20.139    0.32929
  5  B -1     129.3889   18.056    3.51442
  5  B +0      36.8166   18.056    1.00000
  5  B +1      19.6017   18.056    0.53242
  6  C -1      54.3671   15.505    2.80604
  6  C +0      19.3750   15.505    1.00000
  6  C +1       9.7636   15.505    0.50393
  7  N -1      29.9464   13.478    2.63248
  7  N +0      11.3757   13.478    1.00000
  7  N +1       5.5467   13.478    0.48759
  8  O -1      17.2358   11.911    2.37557
  8  O +0       7.2554   11.911    1.00000
  8  O +1       3.4654   11.911    0.47762
  9  F -1      13.9029   10.694    2.82254
  9  F +0       4.9256   10.694    1.00000
  9  F +1       2.3260   10.694    0.47223
 10 Ne -1     483.8941    9.702  137.92162
 10 Ne +0       3.5085    9.702    1.00000
 10 Ne +1       1.6504    9.702    0.47040
 11 Na -1    3252.7756   22.761   17.92903
 11 Na +0     181.4251   22.761    1.00000
 11 Na +1       1.2234   22.761    0.00674
 12 Mg -1    2161.2246   19.454   17.34045
 12 Mg +0     124.6348   19.454    1.00000
 12 Mg +1      37.9436   19.454    0.30444
 13 Al -1    1072.9019   19.688   10.54252
 13 Al +0     101.7690   19.688    1.00000
 13 Al +1      40.8347   19.688    0.40125
 14 Si -1     309.8974   17.812    4.63369
 14 Si +0      66.8792   17.812    1.00000
 14 Si +1      31.7187   17.812    0.47427
 15  P -1     148.8063   16.069    3.27580
 15  P +0      45.4259   16.069    1.00000
 15  P +1      23.8902   16.069    0.52591
 16  S -1      75.7809   14.590    2.35618
 16  S +0      32.1626   14.590    1.00000
 16  S +1      18.1547   14.590    0.56447
 17 Cl -1      57.8060   13.353    2.45117
 17 Cl +0      23.5830   13.353    1.00000
 17 Cl +1      14.0225   13.353    0.59460
 18 Ar +0      17.7950   12.336    1.00000
 18 Ar +1      11.0134   12.336    0.61890
